year,date,id,sex,lon,lat
2015,2015-08-26T00:00:00Z,BI041291 ZF-84 Z15-249,Hona,553247,7106661
2015,2015-08-25T00:00:00Z,BI407234 Z15-504,Hona,384371,6929122
2015,2015-08-21T00:00:00Z,BI041447 ZM-265 W1318 +,Hane,471001,6871226
2015,2015-08-21T00:00:00Z,BI407035 Z15-305,Hona,507900,7129812
2015,2015-08-26T00:00:00Z,BI407035 Z15-305,Hona,507002,7129927
2015,2015-08-26T00:00:00Z,BI407052 Z15-322,Hona,528349,7126152
2015,2015-08-26T00:00:00Z,BI407305 Z15-575 +,Hane,468372,6994258
2015,2015-08-27T00:00:00Z,BI407047 Z15-317,Hane,522396,6993962
2015,2015-08-27T00:00:00Z,BI407304 Z15-574,Hona,458476,6951184
2015,2015-08-23T00:00:00Z,BI041401 ZM-204 Z15-005,Hane,411099,6922238
2015,2015-08-21T00:00:00Z,BI406665 Y15-176,Hane,522386,6935399
2015,2015-08-21T00:00:00Z,BI041454 ZM-272,Hane,451304,6917225
2015,2015-08-21T00:00:00Z,BI406409 NT134,Hane,510632,7013284
2015,2015-08-21T00:00:00Z,BI407045 Z15-315,Hane,464703,6944992
2015,2015-08-21T00:00:00Z,BI407042 Z15-312,Hona,507090,7018539
2015,2015-08-21T00:00:00Z,BI406409 NT134,Hane,506940,7018926
2015,2015-08-21T00:00:00Z,BI407204 Z15-474,Hane,468581,7031497
2015,2015-08-21T00:00:00Z,BI406946 Z15-216 +,Hona,463767,7036547
2015,2015-08-21T00:00:00Z,BI406727 Y15-238 +,Hona,635504,7050535
2015,2015-08-22T00:00:00Z,BI406644 Y15-155,Hane,674592,7048132
2015,2015-08-22T00:00:00Z,BI406667 Y15-178,Hona,663584,7043960
2015,2015-08-27T00:00:00Z,BI407047 Z15-317,Hane,521784,6995113
2015,2015-08-26T00:00:00Z,BI406579 Y15-090,Hane,664791,7055484
2015,2015-08-23T00:00:00Z,BI406865 Z15-135 +,Hona,467520,6830100
2015,2015-08-27T00:00:00Z,BI407145 Z15-415,Hona,516176,6979075
2015,2015-08-26T00:00:00Z,BI406966 Z15-236,Hona,539659,7126542
2015,2015-08-27T00:00:00Z,BI407297 W1902 Z15-567,Hane,539373,7014918
2015,2015-08-25T00:00:00Z,BI407350 Z15-620 +,Hona,424953,7009428
2015,2015-08-23T00:00:00Z,BI406620 Y15-131,Hona,604307,7061693
2015,2015-08-28T00:00:00Z,BI406706 Y15-217,Hane,625955,7022697
2015,2015-08-27T00:00:00Z,BI407362 Z15-632,Hane,492714,6961468
2015,2015-08-27T00:00:00Z,BI407158 Z15-428 +,Hona,463998,7150101
2015,2015-08-28T00:00:00Z,BI406654 Y15-165,Hona,581364,7089993
2015,2015-08-21T00:00:00Z,BI407030 Z15-300,Hane,541652,7014919
2015,2015-08-27T00:00:00Z,BI406653 Y15-164 +,Hona,638304,7007640
2015,2015-08-21T00:00:00Z,BI406927 Z15-197 +,Hane,537967,7129046
2015,2015-08-28T00:00:00Z,BI407357 Z15-627 +,Hane,528629,7093606
2015,2015-08-27T00:00:00Z,BI406672 Y15-183 +,Hona,599588,7042618
2015,2015-08-31T00:00:00Z,BI041499 ZM-321 Y15-179 +,Hane,606268,6985039
2015,2015-08-29T00:00:00Z,BI406598 Y15-109,Hane,629187,6969797
2015,2015-08-29T00:00:00Z,BI041079 ZF-195 +,Hona,508382,6958888
2015,2015-08-28T00:00:00Z,BI407192 Z15-462 +,Hona,493428,6881955
2015,2015-08-27T00:00:00Z,BI041251 ZF-47 +,Hona,501498,7134333
2015,2015-08-28T00:00:00Z,BI406652 Y15-163,Hona,640043,7071616
2015,2015-08-22T00:00:00Z,BI406669 Y15-180,Hane,678243,7058003
2015,2015-08-30T00:00:00Z,BI406622 Y15-133 +,Hane,656938,7052264
2015,2015-08-30T00:00:00Z,BI406604 Y15-115 +,Hane,671782,7065623
2015,2015-08-30T00:00:00Z,BI407317 Z15-587 +,Hane,445367,7008708
2015,2015-08-27T00:00:00Z,BI407169 Z15-439 +,Hane,544473,7024982
2015,2015-08-29T00:00:00Z,BI050160 AC942,Hane,677824,7066339
2015,2015-08-22T00:00:00Z,BI406563 Y15-074,Hane,619123,7038434
